STATION,STATION_NAME,DATE,TPCP,TSNW,MMXT,MMNT
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20110901,1827,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20111001,2134,69,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20111101,1202,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20111201,1053,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120101,812,253,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120201,176,13,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120301,489,99,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120401,962,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120501,1257,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120601,1425,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120701,838,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120801,2098,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20120901,1459,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20121001,1432,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20121101,451,51,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20121201,1500,148,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130101,531,166,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130201,1488,751,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130301,1177,667,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130401,536,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130501,1018,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130601,2904,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130701,861,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130801,1096,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20130901,520,0,-9999,-9999
GHCND:US1MABR0009,TAUNTON 2.6 NW MA US,20131001,287,0,-9999,-9999
